City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,deir ez-zor,35.3359,40.1408,35.48,20,0,6.23,SY,1726240803
189,dhidhdhoo,6.8833,73.1,28.2,80,100,4.84,MV,1726240804
190,mantua,45.1667,10.7833,20.03,61,99,2.68,IT,1726240805
191,obo,5.3998,26.4869,26.16,89,70,1.43,CF,1726240806
192,nchelenge,-9.3451,28.734,29.53,36,17,3.63,ZM,1726240807
193,tharangambadi,11.0319,79.8528,28.94,77,99,6.97,IN,1726240808
194,kattivakkam,13.2167,80.3167,31.05,77,100,4.48,IN,1726240809
195,whitehorse,60.7161,-135.0538,8.43,80,75,4.63,CA,1726240810
196,newman,37.3138,-121.0208,18.91,59,0,0.45,US,1726240811
197,braganca,-1.0536,-46.7656,33.88,42,3,3.81,BR,1726240813
198,ribeira brava,32.65,-17.0667,25.62,57,27,1.43,PT,1726240814
199,abadeh,31.1608,52.6506,26.21,12,72,4.35,IR,1726240815
200,nabire,-3.3667,135.4833,24.93,92,91,1.93,ID,1726240817
201,keelung,25.1283,121.7419,27.97,83,100,2.57,TW,1726240818
202,shimoda,34.6667,138.95,26.24,89,14,3.37,JP,1726240819
203,opuwo,-18.0607,13.84,34.41,10,53,3.83,NA,1726240820
204,mogadishu,2.0371,45.3438,25.56,86,100,8.28,SO,1726240821
205,seymour,38.9592,-85.8903,23.42,50,100,3.8,US,1726240822
206,nianzishan,47.5167,122.8833,6.63,47,61,1.76,CN,1726240823
207,city of balikpapan,-1.242,116.8942,27.97,74,40,3.6,ID,1726240824
208,russas,-4.9403,-37.9758,35.11,23,1,3.44,BR,1726240825
209,hasaki,35.7333,140.8333,27.27,86,10,7.96,JP,1726240826
210,bhimunipatnam,17.8833,83.4333,27.73,75,100,2.49,IN,1726240827
211,fort bragg,35.139,-79.006,22.04,95,100,6.69,US,1726240828
212,cabo san lucas,22.8909,-109.9124,26.53,98,100,4.12,MX,1726240650
213,chulakkurgan,43.765,69.1814,16.32,28,0,7.51,KZ,1726240830
214,tocoa,15.6833,-86.0,31.79,55,100,0.26,HN,1726240831
215,ribeira grande,38.5167,-28.7,25.43,69,40,5.14,PT,1726240832
216,gaiman,-43.2897,-65.4929,14.11,29,0,8.47,AR,1726240833
217,haiku-pauwela,20.9219,-156.3051,24.03,86,5,2.68,US,1726240834
218,kotlas,61.2611,46.6556,20.33,64,100,1.71,RU,1726240835
219,zanjan,36.6736,48.4787,25.83,24,75,6.17,IR,1726240836
220,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,100,75,2.0,RU,1726240837
221,ranibennur,14.6167,75.6167,22.23,87,96,4.93,IN,1726240838
222,vilyuchinsk,52.9306,158.4028,6.15,89,100,1.44,RU,1726240839
223,puerto maldonado,-12.6,-69.1833,33.22,62,19,2.57,PE,1726240840
224,cam ranh,11.9214,109.1591,27.98,78,40,4.12,VN,1726240841
225,saldanha,-33.0117,17.9442,16.03,66,14,4.63,ZA,1726240842
226,san antonio de pale,-1.4014,5.6325,23.84,83,100,4.78,GQ,1726240843
227,urcos,-13.6861,-71.6228,15.5,38,32,2.5,PE,1726240844
228,palmarito tochapan,18.9,-97.6167,18.61,74,100,0.31,MX,1726240845
229,angaur state,6.906,134.13,28.96,79,100,10.04,PW,1726240846
230,afaahiti,-17.75,-149.2833,23.53,87,99,10.08,PF,1726240847
231,new norfolk,-42.7826,147.0587,7.06,98,70,0.98,AU,1726240848
232,thames,-37.1333,175.5333,11.4,88,93,2.69,NZ,1726240849
233,dewas,22.9667,76.0667,22.04,92,95,3.23,IN,1726240850
234,may pen,17.9645,-77.2451,31.65,60,100,3.25,JM,1726240851
235,obihiro,42.9172,143.2044,10.85,91,75,1.11,JP,1726240853
236,faratsiho,-19.4,46.95,18.73,38,0,3.4,MG,1726240854
237,karratha,-20.7377,116.8463,29.52,37,92,2.85,AU,1726240855
238,uturoa,-16.7333,-151.4333,25.88,80,71,7.48,PF,1726240856
239,rialma,-15.315,-49.5844,34.63,18,2,2.73,BR,1726240857
240,margate,51.3813,1.3862,16.5,55,2,2.96,GB,1726240858
241,hadibu,12.65,54.0333,26.94,70,1,6.91,YE,1726240859
242,berezivka,47.2043,30.9078,25.7,51,91,4.71,UA,1726240860
243,happy valley-goose bay,53.3168,-60.3315,15.17,77,75,5.14,CA,1726240861
244,sayat,38.7839,63.8803,24.0,20,0,5.0,TM,1726240862
245,ahtari,62.554,24.0619,13.45,94,100,2.41,FI,1726240863
246,tazacorte,28.629,-17.9293,25.64,66,20,6.17,ES,1726240864
247,lupane,-18.9315,27.807,34.09,12,4,3.75,ZW,1726240865
248,inari,68.906,27.0288,12.36,67,100,1.47,FI,1726240866
249,murzuq,25.9155,13.9184,39.35,17,85,2.6,LY,1726240809
250,bardai,11.65,7.2333,29.67,57,59,4.63,NG,1726240868
251,yaren,-0.5472,166.916,27.5,69,98,4.32,NR,1726240869
252,mudgee,-32.5943,149.5871,5.87,94,0,1.76,AU,1726240773
253,touros,-5.1989,-35.4608,28.3,59,47,7.37,BR,1726240872
254,al jubayl,27.0112,49.6583,33.16,51,0,2.19,SA,1726240873
255,hereford,52.0568,-2.7148,16.67,59,76,4.46,GB,1726240874
256,udachny,66.4167,112.4,-0.79,75,85,7.82,RU,1726240875
257,tutoia,-2.7619,-42.2744,30.64,50,0,7.9,BR,1726240877
258,pisco,-13.7,-76.2167,19.45,82,42,4.12,PE,1726240878
259,kota kinabalu,5.9749,116.0724,24.99,94,40,5.36,MY,1726240879
260,laguna paiva,-31.3039,-60.6589,15.55,83,100,1.34,AR,1726240880
261,sitka,57.0531,-135.33,12.94,82,100,2.57,US,1726240881
262,el bauga,18.262,33.9081,43.35,9,19,3.62,SD,1726240882
263,tsiombe,-25.3,45.4833,19.85,72,8,7.55,MG,1726240883
264,leh,34.1667,77.5833,14.08,16,0,2.18,IN,1726240884
265,tindouf,27.6711,-8.1474,36.25,20,0,2.06,DZ,1726240885
266,port blair,11.6667,92.75,28.02,89,40,3.6,IN,1726240887
267,zaozersk,69.4005,32.4476,15.58,87,100,1.57,RU,1726240888
